Rank;Country/Region;2021;2020;2019;2018;Population
1;Bangladesh;76.9;77.1;83.3;97.1;164689383
2;Chad;75.9;-;-;-;16425859
3;Pakistan;66.8;59;65.8;74.3;220892331
4;Tajikistan;59.4;30.9;-;-;9537642
5;India;58.1;51.9;58.1;72.5;1380004385
6;Oman;53.9;44.4;-;-;5106622
7;Kyrgyzstan;50.8;43.5;33.2;-;6524191
8;Bahrain;49.8;39.7;46.8;59.8;1701583
9;Iraq;49.7;-;-;-;40222503
10;Nepal;46.0;39.2;44.5;54.1;29136808
11;Sudan;44.1;-;-;-;43849269
12;Uzbekistan;42.8;29.9;41.2;34.3;33469199
13;Qatar;38.2;44.3;-;-;2881060
14;Afghanistan;37.5;46.5;58.8;61.8;38928341
15;United Arab Emirates;36.0;29.2;38.9;49.9;9890400
16;Montenegro;35.2;26.1;-;-;628062
17;Indonesia;34.3;40.7;51.7;42;273523621
18;Nigeria;34.0;-;-;-;206139587
19;Armenia;33.9;24.9;25.5;-;2963234
20;Mongolia;33.1;46.6;62;58.5;3278292
21;Saudi Arabia;32.7;23.3;22.1;-;34813867
22;China;32.6;34.7;39.1;41.2;1439323774
23;Kazakhstan;31.1;21.9;23.6;29.8;18776707
24;Iran;30.3;27.2;24.3;25;83992953
25;Kuwait;29.7;34;38.3;56;4270563
26;Peru;29.6;17.9;23.3;28;32971845
27;Egypt;29.1;-;-;-;102334403
28;Bosnia Herzegovina;27.8;40.6;34.6;40;3280815
29;Uganda;27.6;26.1;29.1;40.8;45741000
30;Ghana;25.9;26.9;30.3;-;31072945
31;Myanmar;25.9;29.4;31;-;54409794
32;Lebanon;25.7;-;-;-;6825442
33;Serbia;25.5;24.3;23.3;23.9;8737370
34;North Macedonia;25.4;30.6;32.4;35.5;2083380
35;Croatia;25.4;21.2;19.1;22.2;4105268
36;Vietnam;24.7;28;34.1;32.9;97338583
37;Ethiopia;23.9;14.7;20.1;27.1;114963583
38;Syria;23.0;-;-;-;17500657
39;South Africa;22.7;18;21.6;-;59308690
40;Chile;21.7;19.3;22.6;24.9;19116209
41;Laos;21.5;22.4;23.1;-;7275556
42;Georgia;21.0;20.4;20.1;-;3989175
43;Madagascar;21.0;20;-;-;27691019
44;Turkmenistan;20.4;17;-;-;6031187
45;Thailand;20.2;21.4;24.3;26.4;69799978
46;Turkey;20.0;18.7;20.6;21.9;84339067
47;Algeria;20.0;20.2;21.2;-;43851043
48;Cambodia;19.8;21.1;21.1;20.1;16718971
49;Guatemala;19.5;19.2;20.2;-;17915567
50;Malaysia;19.4;15.6;19.4;-;32365998
51;Mexico;19.3;18.9;20;20.3;128932753
52;South Korea;19.1;19.5;24.8;24;51269183
53;Poland;19.1;16.9;18.7;22.4;37846605
54;Greece;19.0;18.4;22.5;-;10423056
55;Israel;18.7;16.9;20.8;18.6;8655541
56;Ukraine;18.5;19.2;16.6;14;43733759
57;Azerbaijan;17.6;-;-;-;10139175
58;Sri Lanka;17.4;22.4;25.2;32;21413250
59;Macao SAR;17.0;17.8;23.5;21.2;649342
60;Bulgaria;16.3;27.5;25.5;25.8;6948445
61;Taiwan;16.2;15;17.2;18.5;23816775
62;Slovakia;16.0;15.3;16.1;18.5;5459643
63;Hong Kong SAR;15.9;15.4;20.3;20.2;7496988
64;Philippines;15.6;12.8;17.6;14.6;109581085
65;Hungary;15.5;14.3;14.6;16.8;9660350
66;Romania;15.3;15.8;18.3;18.6;19237682
67;Italy;15.2;18.5;17.1;14.9;60461828
68;Cyprus;14.8;15.8;19.7;17.6;1207361
69;Kosovo;14.7;20;23.5;30.4;1831000
70;Kenya;14.3;14.2;-;-;53771300
71;Uruguay;14.2;-;-;-;3473727
72;Colombia;14.1;15.6;14.6;13.9;50882884
73;Czech Republic;13.9;12.3;14.4;20.2;10708982
74;Singapore;13.8;11.8;19;14.8;5850343
75;Brazil;13.6;14.2;15.8;16.3;212559409
76;Malta;13.5;11.8;9.4;11;441539
77;Slovenia;13.3;-;-;-;2078931
78;Lithuania;13.2;11.7;14.5;17.5;2722291
79;Albania;12.5;16;-;-;2877800
80;Russia;12.3;9.3;9.9;11.4;145934460
81;Honduras;11.8;-;-;-;9904608
82;Belgium;11.5;8.9;12.5;13.5;11589616
83;Austria;11.4;10.9;12.2;15;9006400
84;France;11.4;11.1;12.3;13.2;65273512
85;Netherlands;11.3;9.7;10.9;11.7;17134873
86;Angola;11.0;13;15.9;-;32866267
87;Switzerland;10.8;9;10.9;11.6;8654618
88;Spain;10.7;10.4;9.7;10.3;46754783
89;Germany;10.6;10.1;11;13;83783945
90;USA;10.3;9.6;9;9.1;331002647
91;Denmark;9.6;9.4;9.6;-;5792203
92;Japan;9.1;9.8;11.4;12;126476458
93;Luxembourg;9.0;9;9.6;11.2;625976
94;United Kingdom;8.8;8.3;10.5;10.8;67886004
95;Canada;8.5;7.3;7.7;7.9;37742157
96;Ecuador;8.4;7.6;8.6;-;17643060
97;Argentina;8.2;14.2;14.6;-;45195777
98;Ireland;8.0;8.6;10.6;9.5;4937796
99;Costa Rica;7.8;8.2;10.4;-;5094114
100;Norway;7.5;5.7;6.9;7.6;5421242
101;Andorra;7.3;7.4;-;-;77265
102;Liechtenstein;7.2;-;-;-;38137
103;Trinidad and Tobago;7.1;-;-;-;1399491
104;Portugal;7.1;9.1;9.3;9.4;10196707
105;New Zealand;6.8;7;7.5;7.7;4822233
106;Sweden;6.6;5;6.6;7.4;10099270
107;Iceland;6.1;7.2;5.5;5;341250
108;Estonia;5.9;5.9;6.2;7.2;1326539
109;Australia;5.7;7.6;8;6.8;25499881
110;Bahamas;5.5;-;-;-;393248
111;Grenada;5.5;-;-;-;112519
112;Finland;5.5;5;5.6;6.6;5540718
113;Bonaire, Saint Eustatius and Saba;5.1;-;-;-;26221
114;Cape Verde;5.1;-;-;-;555988
115;Puerto Rico;4.8;3.7;10.2;13.7;2860840
116;U.S. Virgin Islands;4.5;3.7;3.5;-;104423
117;New Caledonia;3.8;3.7;-;-;285491
