NOMBRE,DESCRIPCION,
1. The Coca Cola Company ,Por tercer año consecutivo la empresa se ha posicionado a la cabeza de este listado. Durante 2020; en 51 países se recolectaron 13834 plásticos de esta marca; una suma que supera a los dos siguientes lugares del listado juntos. 
2. Pepsico,Al igual que Coca Cola; esta marca se ha posicionado dentro de los primeros tres lugares desde el 2018. Durante el año pasado se lograron recolectar 5155 residuos de esta marca en 43 países. 
3. Nestlé ,Esta marca sigue figurando por segundo año consecutivo entre las marcas que generan más residuos plásticos a nivel global. Durante 2020; en 37 de los 55 países se recolectó un total de 8633 residuos de plástico. 
4. Unilever ,Englobando las marcas de Persil - Cornetto y Sunsilk; la compañía Unilever registró 5558 residuos de plástico; en 37 de los 55 países en los que se realizaron las auditorías durante 2020. La marca subió un posición con respecto al año anterior. 
5. Mondelēz International ,Formando parte nuevamente de este listado la empresa internacional registró un monto de 1171 residuos plásticos que se encontraron en 34 de los países en los que se realizó el voluntariado. 
6. Mars ,En un total de 32 países se recolectaron 678 residuos durante el 2020; la cual maneja las marcas de M&M’s; Wrigley y Snickers. Esta marca se posiciona en el mismo lugar que en años anteriores. 
7. P&G (Proctel & Gamble),La empresa de bienes de consumo tiene entre sus principales marcas a Tampax - Ariel y Pantene. En 29 de los 55 países se encontraron un total de 3535 plásticos residuales pertenecientes a estas marcas. 
8. Phillip Morris International ,La mayor empresa tabacalera del mundo; con marcas como Marlboro - Merit y Parliament; registró un total de 2593 piezas de plástico en un total de 28 países. A comparación del listado pasado; ascendió una posición debido a la incidencia de residuos encontrados. 
9. Colgate-Palmolive,Con presencia en 24 de los 55 países; esta marca registró 5991 piezas de plástico residuales. Las marcas con más presencia de la empresa son: Colgate - Palmolive y Ajax. Esta empresa bajó de posición en el listado debido a sus resultados. 
10. Perfetti Van Melle ,Responsable de las marcas de Chupa Chups - Mentos y Alpenliebe; la empresa Perfetti Van Melle; encargada de realizar dulces; cierra nuevamente esta lista con un total de 465 residuos de plástico encontrados en 24 países.
